,precinct,district,neighborhood
1,9809,Bayview Hunters Point,Bayview Hunters Point
2,9806,Bayview Hunters Point,Bayview Hunters Point
3,612,Bayview Hunters Point,Bayview Hunters Point
4,610,Bayview Hunters Point,Bayview Hunters Point
5,230.03,Bayview Hunters Point,Bayview Hunters Point
6,233,Bayview Hunters Point,Bayview Hunters Point
7,232,Bayview Hunters Point,Bayview Hunters Point
8,231.03,Bayview Hunters Point,Bayview Hunters Point
9,231.02,Bayview Hunters Point,Bayview Hunters Point
10,230.01,Bayview Hunters Point,Bayview Hunters Point
11,234,Bayview Hunters Point,Bayview Hunters Point
12,254.03,Bernal Heights,Bernal Heights
13,254.02,Bernal Heights,Bernal Heights
14,254.01,Bernal Heights,Bernal Heights
15,253,Bernal Heights,Bernal Heights
16,252,Bernal Heights,Bernal Heights
17,251,Bernal Heights,Bernal Heights
18,205,Castro/Upper Market,Castro/Upper Market
19,204.01,Castro/Upper Market,Castro/Upper Market
20,206.02,Castro/Upper Market,Castro/Upper Market
21,203,Castro/Upper Market,Castro/Upper Market
22,206.01,Castro/Upper Market,Castro/Upper Market
23,170,Castro/Upper Market,Castro/Upper Market
24,169,Castro/Upper Market,Castro/Upper Market
25,611.02,Chinatown,Chinatown
26,611.01,Chinatown,Chinatown
27,118,Chinatown,Chinatown
28,113,Chinatown,Chinatown
29,107.01,Chinatown,Chinatown
30,107.02,Chinatown,Chinatown
31,263.03,Excelsior,Excelsior
32,263.02,Excelsior,Excelsior
33,263.01,Excelsior,Excelsior
34,260.02,Excelsior,Excelsior
35,260.01,Excelsior,Excelsior
36,260.04,Excelsior,Excelsior
37,256,Excelsior,Excelsior
38,260.03,Excelsior,Excelsior
39,615.07,Financial District/South Beach,Financial District/South Beach
40,615.08,Financial District/South Beach,Financial District/South Beach
41,615.06,Financial District/South Beach,Financial District/South Beach
42,615.05,Financial District/South Beach,Financial District/South Beach
43,615.04,Financial District/South Beach,Financial District/South Beach
44,615.03,Financial District/South Beach,Financial District/South Beach
45,615.02,Financial District/South Beach,Financial District/South Beach
46,615.01,Financial District/South Beach,Financial District/South Beach
47,117,Financial District/South Beach,Financial District/South Beach
48,105,Financial District/South Beach,Financial District/South Beach
49,218,Glen Park,Glen Park
50,217,Glen Park,Glen Park
51,9803,Golden Gate Park,Golden Gate Park
52,171.02,Haight Ashbury,Haight Ashbury
53,171.01,Haight Ashbury,Haight Ashbury
54,167,Haight Ashbury,Haight Ashbury
55,166.01,Haight Ashbury,Haight Ashbury
56,166.02,Haight Ashbury,Haight Ashbury
57,168.02,Hayes Valley,Hayes Valley
58,168.01,Hayes Valley,Hayes Valley
59,164,Hayes Valley,Hayes Valley
60,163,Hayes Valley,Hayes Valley
61,162,Hayes Valley,Hayes Valley
62,452.02,Inner Richmond,Inner Richmond
63,452.01,Inner Richmond,Inner Richmond
64,451,Inner Richmond,Inner Richmond
65,402,Inner Richmond,Inner Richmond
66,401,Inner Richmond,Inner Richmond
67,301.01,Inner Sunset,Inner Sunset
68,303.02,Inner Sunset,Inner Sunset
69,303.01,Inner Sunset,Inner Sunset
70,302.02,Inner Sunset,Inner Sunset
71,302.01,Inner Sunset,Inner Sunset
72,301.02,Inner Sunset,Inner Sunset
73,155,Japantown,Japantown
74,604,Lakeshore,Lakeshore
75,332.04,Lakeshore,Lakeshore
76,332.03,Lakeshore,Lakeshore
77,332.01,Lakeshore,Lakeshore
78,9802,Lincoln Park,Lincoln Park
79,165,Lone Mountain/USF,Lone Mountain/USF
80,157.02,Lone Mountain/USF,Lone Mountain/USF
81,157.01,Lone Mountain/USF,Lone Mountain/USF
82,156,Lone Mountain/USF,Lone Mountain/USF
83,130.02,Marina,Marina
84,130.01,Marina,Marina
85,129.02,Marina,Marina
86,129.01,Marina,Marina
87,128.02,Marina,Marina
88,128.01,Marina,Marina
89,126.02,Marina,Marina
90,126.01,Marina,Marina
91,127,Marina,Marina
92,9805.01,McLaren Park,McLaren Park
93,229.03,Mission,Mission
94,229.02,Mission,Mission
95,229.01,Mission,Mission
96,228.03,Mission,Mission
97,228.01,Mission,Mission
98,228.02,Mission,Mission
99,207.01,Mission,Mission
100,208.01,Mission,Mission
101,201.01,Mission,Mission
102,210,Mission,Mission
103,209,Mission,Mission
104,207.02,Mission,Mission
105,202.02,Mission,Mission
106,202.01,Mission,Mission
107,201.02,Mission,Mission
108,177,Mission,Mission
109,208.02,Mission,Mission
110,607.03,Mission Bay,Mission Bay
111,607.02,Mission Bay,Mission Bay
112,607.01,Mission Bay,Mission Bay
113,120.02,Nob Hill,Nob Hill
114,120.01,Nob Hill,Nob Hill
115,119.02,Nob Hill,Nob Hill
116,119.01,Nob Hill,Nob Hill
117,112,Nob Hill,Nob Hill
118,111.02,Nob Hill,Nob Hill
119,111.01,Nob Hill,Nob Hill
120,108,Nob Hill,Nob Hill
121,121,Nob Hill,Nob Hill
122,215,Noe Valley,Noe Valley
123,214,Noe Valley,Noe Valley
124,216,Noe Valley,Noe Valley
125,213,Noe Valley,Noe Valley
126,212,Noe Valley,Noe Valley
127,211,Noe Valley,Noe Valley
128,101.02,North Beach,North Beach
129,101.01,North Beach,North Beach
130,106,North Beach,North Beach
131,104.02,North Beach,North Beach
132,104.01,North Beach,North Beach
133,312.02,Oceanview/Merced/Ingleside,Oceanview/Merced/Ingleside
134,312.01,Oceanview/Merced/Ingleside,Oceanview/Merced/Ingleside
135,314.02,Oceanview/Merced/Ingleside,Oceanview/Merced/Ingleside
136,314.01,Oceanview/Merced/Ingleside,Oceanview/Merced/Ingleside
137,313.01,Oceanview/Merced/Ingleside,Oceanview/Merced/Ingleside
138,313.02,Oceanview/Merced/Ingleside,Oceanview/Merced/Ingleside
139,262.01,Outer Mission,Outer Mission
140,261,Outer Mission,Outer Mission
141,255.02,Outer Mission,Outer Mission
142,262.02,Outer Mission,Outer Mission
143,255.01,Outer Mission,Outer Mission
144,476,Outer Richmond,Outer Richmond
145,479.04,Outer Richmond,Outer Richmond
146,478.01,Outer Richmond,Outer Richmond
147,426.02,Outer Richmond,Outer Richmond
148,426.01,Outer Richmond,Outer Richmond
149,479.03,Outer Richmond,Outer Richmond
150,479.02,Outer Richmond,Outer Richmond
151,427,Outer Richmond,Outer Richmond
152,477.01,Outer Richmond,Outer Richmond
153,478.02,Outer Richmond,Outer Richmond
154,477.02,Outer Richmond,Outer Richmond
155,153,Pacific Heights,Pacific Heights
156,152.01,Pacific Heights,Pacific Heights
157,135,Pacific Heights,Pacific Heights
158,134.02,Pacific Heights,Pacific Heights
159,134.01,Pacific Heights,Pacific Heights
160,132,Pacific Heights,Pacific Heights
161,131.02,Pacific Heights,Pacific Heights
162,131.01,Pacific Heights,Pacific Heights
163,152.02,Pacific Heights,Pacific Heights
164,259,Portola,Portola
165,258,Portola,Portola
166,257.02,Portola,Portola
167,257.01,Portola,Portola
168,614.02,Potrero Hill,Potrero Hill
169,614.01,Potrero Hill,Potrero Hill
170,227.02,Potrero Hill,Potrero Hill
171,226,Potrero Hill,Potrero Hill
172,227.04,Potrero Hill,Potrero Hill
173,601,Presidio,Presidio
174,154.02,Presidio Heights,Presidio Heights
175,154.01,Presidio Heights,Presidio Heights
176,133,Presidio Heights,Presidio Heights
177,110.02,Russian Hill,Russian Hill
178,110.01,Russian Hill,Russian Hill
179,109.02,Russian Hill,Russian Hill
180,103,Russian Hill,Russian Hill
181,102.02,Russian Hill,Russian Hill
182,102.01,Russian Hill,Russian Hill
183,109.01,Russian Hill,Russian Hill
184,428,Seacliff,Seacliff
185,178.01,South of Market,South of Market
186,180,South of Market,South of Market
187,178.04,South of Market,South of Market
188,178.03,South of Market,South of Market
189,176.04,South of Market,South of Market
190,176.03,South of Market,South of Market
191,176.02,South of Market,South of Market
192,353,Sunset/Parkside,Sunset/Parkside
193,352.02,Sunset/Parkside,Sunset/Parkside
194,352.01,Sunset/Parkside,Sunset/Parkside
195,351.02,Sunset/Parkside,Sunset/Parkside
196,351.01,Sunset/Parkside,Sunset/Parkside
197,354,Sunset/Parkside,Sunset/Parkside
198,326.01,Sunset/Parkside,Sunset/Parkside
199,331,Sunset/Parkside,Sunset/Parkside
200,330.02,Sunset/Parkside,Sunset/Parkside
201,330.01,Sunset/Parkside,Sunset/Parkside
202,328.01,Sunset/Parkside,Sunset/Parkside
203,327,Sunset/Parkside,Sunset/Parkside
204,326.02,Sunset/Parkside,Sunset/Parkside
205,329.01,Sunset/Parkside,Sunset/Parkside
206,329.02,Sunset/Parkside,Sunset/Parkside
207,328.02,Sunset/Parkside,Sunset/Parkside
208,124.03,Tenderloin,Tenderloin
209,123.02,Tenderloin,Tenderloin
210,125.04,Tenderloin,Tenderloin
211,125.03,Tenderloin,Tenderloin
212,125.02,Tenderloin,Tenderloin
213,124.06,Tenderloin,Tenderloin
214,124.05,Tenderloin,Tenderloin
215,124.04,Tenderloin,Tenderloin
216,123.01,Tenderloin,Tenderloin
217,122.03,Tenderloin,Tenderloin
218,122.02,Tenderloin,Tenderloin
219,122.04,Tenderloin,Tenderloin
220,9804.01,The Farallones,The Farallones
221,179.03,Treasure Island,Treasure Island
222,305,Twin Peaks,Twin Peaks
223,204.02,Twin Peaks,Twin Peaks
224,605.02,Visitacion Valley,Visitacion Valley
225,264.04,Visitacion Valley,Visitacion Valley
226,264.03,Visitacion Valley,Visitacion Valley
227,264.02,Visitacion Valley,Visitacion Valley
228,264.01,Visitacion Valley,Visitacion Valley
229,304,West of Twin Peaks,West of Twin Peaks
230,311,West of Twin Peaks,West of Twin Peaks
231,310,West of Twin Peaks,West of Twin Peaks
232,309,West of Twin Peaks,West of Twin Peaks
233,308,West of Twin Peaks,West of Twin Peaks
234,307,West of Twin Peaks,West of Twin Peaks
235,306,West of Twin Peaks,West of Twin Peaks
236,161.02,Western Addition,Western Addition
237,161.01,Western Addition,Western Addition
238,160,Western Addition,Western Addition
239,159,Western Addition,Western Addition
240,158.02,Western Addition,Western Addition
241,158.01,Western Addition,Western Addition
242,151,Western Addition,Western Addition